Column,Type
knowledge_Therapy.and.Counseling,integer
knowledge_Transportation,integer
education_level_required,integer
education_level_required_description,string
O.NET.SOC.Code_short,string
jobs1k_Alabama,integer
jobs1k_Alaska,integer
jobs1k_Arizona,integer
jobs1k_Arkansas,integer
jobs1k_California,integer
jobs1k_Colorado,integer
jobs1k_Connecticut,integer
jobs1k_Delaware,integer
jobs1k_District_of_Columbia,integer
jobs1k_Florida,integer
jobs1k_Georgia,integer
jobs1k_Hawaii,integer
jobs1k_Idaho,integer
jobs1k_Illinois,integer
jobs1k_Indiana,integer
jobs1k_Iowa,integer
jobs1k_Kansas,integer
jobs1k_Kentucky,integer
jobs1k_Louisiana,integer
jobs1k_Maine,integer
jobs1k_Maryland,integer
jobs1k_Massachusetts,integer
jobs1k_Michigan,integer
jobs1k_Minnesota,integer
jobs1k_Mississippi,integer
jobs1k_Missouri,integer
jobs1k_Montana,integer
jobs1k_Nebraska,integer
jobs1k_Nevada,integer
jobs1k_New_Hampshire,integer
jobs1k_New_Jersey,integer
jobs1k_New_Mexico,integer
jobs1k_New_York,integer
jobs1k_North_Carolina,integer
jobs1k_North_Dakota,integer
jobs1k_Ohio,integer
jobs1k_Oklahoma,integer
jobs1k_Oregon,integer
jobs1k_Pennsylvania,integer
jobs1k_Rhode_Island,integer
jobs1k_South_Carolina,integer
jobs1k_South_Dakota,integer
jobs1k_Tennessee,integer
jobs1k_Texas,integer
jobs1k_Utah,integer
jobs1k_Vermont,integer
jobs1k_Virginia,integer
jobs1k_Washington,integer
jobs1k_West_Virginia,integer
jobs1k_Wisconsin,integer
jobs1k_Wyoming,integer
jobsquo_Alabama,integer
jobsquo_Alaska,integer
jobsquo_Arizona,integer
jobsquo_Arkansas,integer
jobsquo_California,integer
jobsquo_Colorado,integer
jobsquo_Connecticut,integer
jobsquo_Delaware,integer
jobsquo_District_of_Columbia,integer
jobsquo_Florida,integer
jobsquo_Georgia,integer
jobsquo_Hawaii,integer
jobsquo_Idaho,integer
jobsquo_Illinois,integer
jobsquo_Indiana,integer
jobsquo_Iowa,integer
jobsquo_Kansas,integer
jobsquo_Kentucky,integer
jobsquo_Louisiana,integer
jobsquo_Maine,integer
jobsquo_Maryland,integer
jobsquo_Massachusetts,integer
jobsquo_Michigan,integer
jobsquo_Minnesota,integer
jobsquo_Mississippi,integer
jobsquo_Missouri,integer
jobsquo_Montana,integer
jobsquo_Nebraska,integer
jobsquo_Nevada,integer
jobsquo_New_Hampshire,integer
jobsquo_New_Jersey,integer
jobsquo_New_Mexico,integer
jobsquo_New_York,integer
jobsquo_North_Carolina,integer
jobsquo_North_Dakota,integer
jobsquo_Ohio,integer
jobsquo_Oklahoma,integer
jobsquo_Oregon,integer
jobsquo_Pennsylvania,integer
jobsquo_Rhode_Island,integer
jobsquo_South_Carolina,integer
jobsquo_South_Dakota,integer
jobsquo_Tennessee,integer
jobsquo_Texas,integer
jobsquo_Utah,integer
jobsquo_Vermont,integer
jobsquo_Virginia,integer
jobsquo_Washington,integer
jobsquo_West_Virginia,integer
jobsquo_Wisconsin,integer
jobsquo_Wyoming,integer
salary_Alabama,integer
salary_Alaska,integer
salary_Arizona,integer
salary_Arkansas,integer
salary_California,integer
salary_Colorado,integer
salary_Connecticut,integer
salary_Delaware,integer
salary_District_of_Columbia,integer
salary_Florida,integer
salary_Georgia,integer
salary_Hawaii,integer
salary_Idaho,integer
salary_Illinois,integer
salary_Indiana,integer
salary_Iowa,integer
salary_Kansas,integer
salary_Kentucky,integer
salary_Louisiana,integer
salary_Maine,integer
salary_Maryland,integer
salary_Massachusetts,integer
salary_Michigan,integer
salary_Minnesota,integer
salary_Mississippi,integer
salary_Missouri,integer
salary_Montana,integer
salary_Nebraska,integer
salary_Nevada,integer
salary_New_Hampshire,integer
salary_New_Jersey,integer
salary_New_Mexico,integer
salary_New_York,integer
salary_North_Carolina,integer
salary_North_Dakota,integer
salary_Ohio,integer
salary_Oklahoma,integer
salary_Oregon,integer
salary_Pennsylvania,integer
salary_Rhode_Island,integer
salary_South_Carolina,integer
salary_South_Dakota,integer
salary_Tennessee,integer
salary_Texas,integer
salary_Utah,integer
salary_Vermont,integer
salary_Virginia,integer
salary_Washington,integer
salary_West_Virginia,integer
salary_Wisconsin,integer
salary_Wyoming,integer
salary_US,integer
