"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"13","11-3051.01","Quality Control Systems Managers",4,4.12,4,3.5,4.12,2.38,1.88,0.25,3.75,4.25,3.5,2.88,2.75,3.25,3.38,4.12,3.25,2.75,3.5,2.75,3.25,1.5,3.88,4,2.25,2.38,3.25,3.75,3.75,3.5,3.5,1.38,3.75,2.88,3.75,"Level"
"14","11-3051.02","Geothermal Production Managers",3.25,3.62,3.62,3.62,3.88,2.75,2.62,0,3.5,3.62,3.38,3.75,3.25,3.88,3.75,4.38,3.38,2.88,3.5,2.38,3.38,1.25,2.88,4.25,3,2.5,3,3.62,4,3.62,3.75,1.88,3.88,3.12,3.75,"Level"
"15","11-3051.04","Biomass Power Plant Managers",3.38,3.75,3.75,4.12,4,2.88,1.88,0.12,3.5,3.62,3.38,4,3.62,4,3.38,4.75,3.12,2.88,3.88,2,3.5,1.38,3.38,4.25,2.75,2.5,2.62,3.75,3.88,3.62,3.5,1.25,3.75,3,3.75,"Level"
"16","11-3061.00","Purchasing Managers",4.12,4.12,3.12,4.25,4,0,0,0,3.62,3.88,3.75,4.38,3.88,4.25,3.5,4.25,4.38,0.38,1.88,2.62,4.38,1.12,3,4,0,0.62,3.62,4.12,4,3.75,3.75,1.12,3.88,1.5,4,"Level"
"17","11-3071.01","Transportation Managers",3.62,3.88,3.5,4.12,4,0,0,0,3.5,3.75,3.5,3.12,2.88,3.62,3.25,4.12,3.75,1.38,1.5,3.12,3.75,0.38,1.62,4,0.25,0.88,3.25,3.88,4,3.75,4,1,3.88,0.5,3.88,"Level"
"18","11-3071.02","Storage and Distribution Managers",3.12,3.5,3.12,3.75,3.62,0.25,0.62,0,3,3.12,3.12,3.5,3,3.5,2.88,3.75,3.25,2.38,2.25,3.12,3.25,0.5,2.12,3.88,0.25,0.5,3,3.5,3.62,2.88,3,0.62,3.5,1.25,3.38,"Level"
"19","11-3071.03","Logistics Managers",4,3.88,3.88,3.88,4.38,0,0.5,0,3.12,3.75,3.5,3.25,3.38,4.12,3.25,4.38,3.75,1.5,2.88,2.75,3.62,1.38,1.38,4,0,0.38,3.25,3.75,3.88,3.12,3.62,1.12,4.12,0.5,3.62,"Level"
"20","11-3111.00","Compensation and Benefits Managers",3.62,3.75,3.25,3.5,3.88,0,0,0,3,3.5,2.88,3.5,2,3.38,2.88,3.38,3.12,0,0.75,3.12,3.12,0.62,0.88,4,0,0.75,3.25,3.5,3.88,3.5,3.62,0.62,3.62,0,3.62,"Level"
"21","11-3121.00","Human Resources Managers",4.12,4.38,3.75,4.12,4.25,0,0,0,4,4.12,4,3.88,3.25,4.62,3.38,4.38,4,0.38,1.12,2.75,4.12,1.62,1.38,4.25,0,1.5,3.75,4.12,4,3.88,4.25,1.12,4.12,0,4.12,"Level"
"22","11-3131.00","Training and Development Managers",4.38,4.38,4,4.12,4.12,0,0,0,4.62,4,5.38,4.25,3,4.38,2.88,4.38,3.25,0.12,1.75,2.88,4.12,1.12,3,4.12,0,1,3.75,3.88,4.75,3.88,4.12,0.88,4.12,1.38,4.12,"Level"
"23","11-9013.01","Nursery and Greenhouse Managers",3.25,3.5,3,3.25,3.88,1.5,1.38,0.12,3.5,3.38,3,2.75,3.12,3.5,2.25,3.38,3.12,2.38,2.75,2.25,3.25,0.5,2.5,3.62,1.38,2.75,3,3.38,3.62,2.62,2.88,0.88,3.5,1.75,3.38,"Level"
"24","11-9013.02","Farm and Ranch Managers",3.5,3.5,3.5,3.88,4.12,2.5,2.5,0.12,3.12,3.88,3.38,3.62,3.5,3.12,3.75,3.75,3.75,2.88,3.12,2.25,3.62,0.62,3,3.75,2.25,2.5,2.62,3.25,3.75,3.38,3.38,1,3.75,2.38,3.5,"Level"
"25","11-9013.03","Aquacultural Managers",3.5,3.5,3.25,3.75,3.5,2.62,2,0.12,3.12,3.5,3.12,2.88,2.5,3.5,2.38,3.75,3.12,2.88,3,3.12,3.12,0.88,3.25,3.88,2.12,3.25,2.88,3.5,3.62,3.62,3.5,1.12,3.5,2.5,3.75,"Level"
"26","11-9021.00","Construction Managers",3.88,4,3.88,4.25,4,0,0.25,0,3.5,4,3.5,4,4,4,3.75,4.12,4,2.12,3,3.62,3.88,0.62,3.12,4,0,2.25,3,3.88,4,3.88,3.88,1.25,4,2.25,4,"Level"
"27","11-9031.00","Education Administrators, Preschool and Childcare Center/Program",3.62,3.88,3,3.75,3.88,0,0.38,0,3.5,3.88,3.75,2.75,3.25,4,2.5,4,3.5,0.5,1.5,1,3.25,0.5,1.5,4.12,0,0.25,3.5,3.62,3.88,3.12,3.38,0.75,3.88,0.75,3.75,"Level"
"28","11-9032.00","Education Administrators, Elementary and Secondary School",4.12,4.38,4.12,4.12,4.25,0,0.38,0,4,4.25,4.5,3.75,3.38,4.25,3.25,4.5,3.75,0.38,1.12,2.25,4,1.12,3.12,4.25,0,1.5,3.5,4.12,4.38,3.88,4,0.62,4.12,0.88,4.25,"Level"
"29","11-9033.00","Education Administrators, Postsecondary",3.88,4.25,3.75,4,4.12,0,0,0,4,4,3.75,3.25,3.5,4,2.88,4.12,3.75,0,1.38,0.38,3.75,0.5,0,4.5,0,0.75,3.75,3.88,4.12,3.62,3.62,0.88,4.12,0,4.12,"Level"
"30","11-9039.01","Distance Learning Coordinators",4.38,4,3.5,4,4.12,0,1.5,0,4,3.38,4.25,3.38,3.12,3.5,2.88,4,3.62,0.62,1.75,2.5,3.62,1.5,2.88,4.38,0,0.5,3.5,3.75,4.25,3.38,3.5,1.88,3.5,2.25,4.5,"Level"
"31","11-9039.02","Fitness and Wellness Coordinators",3.5,3.75,3.12,3.75,3.88,0.62,1.38,0,3.62,3.38,3.5,3.25,3,3.38,2.62,3.88,3.38,1,1.75,1,3.75,0.88,1.88,3.88,0.25,1.38,3.5,3.75,4,3.12,3.12,1.62,3.38,1.25,3.75,"Level"
"32","11-9041.00","Architectural and Engineering Managers",4.25,4.12,4.12,4.12,4.25,0,0.5,0.5,3.5,4.25,3.38,3.38,3.25,4,3.75,4.12,4,1.5,2.62,1.88,3.88,1.38,3.12,4.38,0.5,2.38,3.38,3.75,4.12,3.5,3.25,1.62,4,1.88,4.12,"Level"
"33","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers",3.75,3.62,3.88,3.38,4.12,1.38,2.12,0.38,3.25,3.88,3.25,1.88,1.88,3.38,3.12,3.88,3.38,1.75,3,2.25,3.38,1.38,3,4.25,1.25,3,2.88,3.12,3.5,3.5,3.5,1.62,3.5,1.62,3.88,"Level"
"34","11-9051.00","Food Service Managers",3.75,3.25,3.12,3.75,4,1.88,1.25,0,3.5,3.25,3.25,3.38,3.38,3.75,2.62,3.62,3.62,1.88,2.38,3.12,3.38,0.38,2.38,3.75,1.75,1.62,3.62,3.75,3.5,2.62,2.88,0.62,3.62,2.25,3.25,"Level"
"35","11-9061.00","Funeral Service Managers",3,3.62,3,3.25,3.62,0,0,0,3.38,3.12,3,2.75,2.75,3.5,2.62,3.62,3.38,1.88,2.12,0.62,3.62,0.75,2,3.75,0,0.38,4,3.62,3.88,2.62,2.62,0.75,3.62,1.12,3.62,"Level"
"36","11-9071.00","Gaming Managers",3.62,3.88,3.25,4.12,4,0,0,0,3.75,3.88,3.62,3,2.25,3.88,3.12,4.12,3.5,0.12,1.62,2,3.75,0.62,2.38,4,0,0.75,3.75,3.75,4,3.12,3.38,0.38,4,0.75,3.75,"Level"
"37","11-9081.00","Lodging Managers",3.75,4,3.38,3.88,4,1.88,1.88,0,3.62,3.62,3.62,4.12,3.88,3.88,3.12,4.25,3.75,2,2.12,1.12,3.75,0.62,2.5,4,1.75,0,4,3.88,4,3.25,3.75,0.75,3.88,1.88,4,"Level"
"38","11-9111.00","Medical and Health Services Managers",3.75,4,3.38,4.25,4,0,0,0,3.5,4,3.5,3.88,3.5,4,2.88,4.12,3.5,0,2.25,4.12,3.5,0.62,2.12,4.12,0,3.5,3.5,4,4.12,3.38,3.75,0.62,4.12,1,3.88,"Level"
"39","11-9121.00","Natural Sciences Managers",4.88,4.75,4.25,4,4.38,0,0.12,0,3.88,4,3.62,3.75,2.75,4.62,4.25,4.38,3.25,1.25,1.5,4.25,3.62,1.62,2,5,0,4.75,3,3.88,4.38,3.88,3.88,3.25,4.38,0.62,4.5,"Level"
"40","11-9121.01","Clinical Research Coordinators",4.12,4.12,3.75,4.25,4,0,0,0,3.38,3.5,3.5,2.62,2.88,3.75,3,3.88,3.5,0,1.62,1.5,3.38,1.25,0.88,4.38,0.25,3,3.5,3.88,3.88,3.38,3.5,1,3.75,0.38,4.12,"Level"
"41","11-9121.02","Water Resource Specialists",3.75,3.88,3.88,3.25,4,0,0.5,0,3.38,3.88,3.25,2.75,2.5,3.12,3.75,3.75,3.12,2.38,2.75,2.38,3.5,1.5,3,4.12,0,3,3.12,3.5,4,4.12,4.12,1.88,3.62,1.88,4,"Level"
"42","11-9131.00","Postmasters and Mail Superintendents",3.12,3.38,2.88,3.5,3.88,0,0.38,0,3.25,3,3.38,2.75,2.5,3.38,2.38,3.5,3.25,0.25,2,2.25,3.5,1.25,1.75,3.75,0,0.88,2.75,3.38,3.75,2.75,3,1,3.75,1.5,3.5,"Level"
"43","11-9141.00","Property, Real Estate, and Community Association Managers",3.38,3.88,3.12,3.75,4,0.12,0.25,0,3.12,3.5,3,3.12,2.75,3.38,2.75,3.38,3.75,0.62,1,2.5,3.5,0.5,2,4,0,0.5,3.12,3.38,4,2.25,2.38,0.25,3.62,0.75,3.88,"Level"
"44","11-9151.00","Social and Community Service Managers",4.12,4.5,4,4.38,4.25,0,0,0,4,4.25,4.12,4.12,3.25,4.5,3.5,4.5,3.75,1.62,1.88,3.62,3.88,1.25,1.75,4.38,0,2.88,4.12,4.75,4.38,4,4.25,0.88,4.38,0,4.38,"Level"
"45","11-9161.00","Emergency Management Directors",4.12,4,5.12,4.62,4.5,0,0.25,0,3.88,4.12,3.5,2.62,3,3.62,3.12,4.38,3.5,1.75,2,3.5,3.88,1,2.88,4.38,0,1.5,5.12,4,4.25,4.12,4,0.75,3.88,1.25,4.25,"Level"
"46","11-9199.01","Regulatory Affairs Managers",3.62,4,3.38,4,4.12,0,0,0,3.38,3.75,3.25,2,2,3.75,2.5,3.88,3.5,0.38,1.12,3.75,3.25,0.5,0.25,4.12,0,2.38,3,3.62,4,3.5,3.62,0.5,3.62,0,4,"Level"
"47","11-9199.02","Compliance Managers",3.88,4,3.5,4,4.25,0,0,0,3.62,3.75,3.5,1.88,1.62,3,2.25,4.5,3.25,0.5,1.38,1.62,3.88,0.88,1.5,4.12,0,0.38,3,3.75,4.12,3.25,3.25,1,3.38,0,4.12,"Level"
"48","11-9199.03","Investment Fund Managers",3.88,4.12,3.88,3.12,4,0,0,0,2.88,4.25,3.12,3,2.12,3.38,3.62,4,3.5,0,1.5,1.62,3.5,1.12,0.75,4.25,0,0,3,3.38,4.12,3.75,3.75,1.38,3.88,0,3.88,"Level"
"49","11-9199.04","Supply Chain Managers",3.75,3.75,4,4,4.25,0,0,0,3.38,3.88,3.25,3,3.62,3.62,2.88,4.38,3.75,0,1.62,1.88,3.62,0.75,1,3.88,0,0,3,3.75,3.62,3.5,3.88,0.75,3.62,0,3.75,"Level"
"50","11-9199.07","Security Managers",3.38,3.75,3.75,3.88,4,0.25,1,0.12,3.38,3.62,3.25,3.38,3.12,3.38,2.62,3.75,3.12,2.25,2.12,2.25,3.62,1.12,3.12,4.12,0,0.88,3.38,3.75,4,3.25,3.5,1.38,3.62,1.75,3.88,"Level"
"51","11-9199.08","Loss Prevention Managers",3.62,3.75,3.62,3.75,4,0.38,0.38,0.25,3.75,3.88,3.38,2.25,2.5,4,2.75,3.88,3.38,1.88,2.75,1.75,3.75,1.38,2.5,3.88,0,0,3.62,3.75,3.88,4,4.12,1.25,3.88,1.38,3.88,"Level"
"52","11-9199.11","Brownfield Redevelopment Specialists and Site Managers",3.62,3.88,4.12,4.38,4.12,0,1.12,0,3.25,3.75,3,3.62,3.25,3.5,3.75,4,3.75,1.75,2.62,3.12,3.62,1,2.88,4.38,0,2.75,3.12,3.12,4.12,3.5,3.62,2.12,3.75,1.75,4.25,"Level"
"53","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes",3.12,3.75,2.88,3.5,3.75,0,0,0,2.75,3.75,2.75,2,1.5,3,2,3.5,4,0.88,0.88,2,4.12,0.62,0,3.88,0,0.5,3.5,3.25,3.88,2.38,2.38,0.5,3.38,0,3.5,"Level"
"54","13-1021.00","Buyers and Purchasing Agents, Farm Products",3.12,3.38,3,3.12,3.75,0,0,0,2.88,3.38,3,2.88,3.12,3,3,3.12,3.62,1.75,2.12,1.75,3.75,0.75,2.38,3.5,0.25,1.38,2.62,3.12,3.88,2.88,2.62,1,3,1.25,3.12,"Level"
"55","13-1022.00","Wholesale and Retail Buyers, Except Farm Products",3.88,3.88,3.12,3.38,4,0,0,0,3.12,3.75,3.25,3.38,3.12,3.12,3.38,4,4,0.38,1,2,4,0.88,1.75,3.88,0,0.88,3.12,3.5,3.88,3,3.38,0.62,3.12,0,3.38,"Level"
"56","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.12,4,3.88,3.38,4.12,0,0.12,0,3.12,4.12,3.25,3.88,3,3.12,3.12,4,3.88,0,0.25,2.88,3.88,0.25,2.12,4.12,0,0.62,2.88,3.62,4.12,3,3.25,0.12,3.62,0.38,4,"Level"
"57","13-1031.01","Claims Examiners, Property and Casualty Insurance",3.38,3.88,3.12,3.12,4,0,0,0,3,3.5,3,1.75,1.38,2.5,2.88,3.25,3.62,0.25,2,0.12,3.38,0.62,1.62,4.12,0,0,3.38,3.38,3.75,2.62,2.5,0.38,2.88,0.75,3.75,"Level"
"58","13-1031.02","Insurance Adjusters, Examiners, and Investigators",3.38,4.12,3,3.12,4.25,0,0,0,1.88,3.62,2.12,2.88,1.88,2,3.38,2.88,3.75,0.12,1.62,2.12,3,1.12,2,4.12,0,0.62,3,3.12,4,2.38,2.25,0.62,3,1.62,3.75,"Level"
"59","13-1032.00","Insurance Appraisers, Auto Damage",2.88,3.62,3,3,3.62,0.12,0.25,0,1.75,3.38,1.25,1.12,0.5,1.25,2.75,2.88,3,1.75,1.88,1.62,3,0.12,2.12,3.5,0,0.38,2.88,3.25,3.62,2.25,1.88,0,2.88,1.12,3.38,"Level"
"60","13-1041.01","Environmental Compliance Inspectors",4.12,4.12,4,3.25,4.25,0.38,0.38,0,3.12,3.75,3.5,0.88,1,2.62,3.38,4.38,3,2.62,3.12,2.38,3.12,1.62,3.5,4.62,0.25,3.12,2.75,3.5,4.25,3.25,3.62,0.75,2.88,2.12,4.12,"Level"
"61","13-1041.02","Licensing Examiners and Inspectors",3,4,3,2.88,3.88,0,0,0,2.88,3.62,2.75,1.38,1.25,2.5,2.25,3.25,3,2,2.5,1.25,3.12,1.12,2.38,4,0,0,3.12,3.62,4,2.88,2.75,0.38,2.88,1.12,3.75,"Level"
"62","13-1041.03","Equal Opportunity Representatives and Officers",4,4.62,3.62,3.25,4.5,0,0.12,0,3.38,3.75,3.38,0.38,0.38,2,2.75,3.88,3.62,0.12,1.25,1.88,4,1.5,1.25,4.75,0,0.75,3.38,4.12,4.25,3.25,3.5,0.88,3,0,4.38,"Level"
"63","13-1041.04","Government Property Inspectors and Investigators",3.62,4.25,3.5,3.5,4.12,0,0.25,0,3.62,4,3.25,2,2.25,3.25,3.12,4,3.12,2.75,3.12,1.88,3.75,1.75,3.38,4.25,0,1.12,3.12,3.62,4.25,3.25,3.38,1,3.5,1.5,4.12,"Level"
"64","13-1041.06","Coroners",3.75,4.12,3.25,3.38,4.12,0,0.75,0,3.38,3.62,3.38,1.38,1.5,3.25,2.38,3.62,2.88,2.25,2,1.25,3,0.88,1.75,4.12,0,3.88,3.25,4.12,4.25,2.62,2.38,1,3.38,0.88,4,"Level"
"65","13-1041.07","Regulatory Affairs Specialists",3.75,3.88,3.62,4.12,4.38,0,0,0,3.38,4.38,3.12,1.5,1.38,2.75,3.12,3.62,3.25,0,1.88,2.62,3.88,1.62,2.12,4.5,0,1.12,3,3.12,4.38,4.25,3.88,1,3.12,0,4.25,"Level"
"66","13-1051.00","Cost Estimators",4,4.25,3.88,3.5,4.25,0,0,0,2.62,3.38,2.88,4,3.12,2.75,4.12,3.75,3.25,0.38,1.75,2.5,3.75,1.75,0.88,4.25,0,1.25,2.62,3.25,3.88,3.5,3.12,1.12,3.25,0,3.88,"Level"
"67","13-1071.00","Human Resources Specialists",3.25,4.12,3.12,3.62,4,0,0.12,0,3.12,3.25,3.12,0.75,1.25,3,2.25,3.75,3.12,0.38,0.75,0.62,3.12,0.88,1.12,4.12,0,0.25,3.38,3.88,4,2.75,2.88,0.62,3,0,3.88,"Level"
"68","13-1074.00","Farm Labor Contractors",2.38,3.12,2.75,3.38,3.25,0,0.25,0,2.88,2.75,2.12,1.88,1.62,3.38,2.12,2.62,3,2.38,2.38,0.5,2.88,0.5,1.38,2.88,0,0.38,2.62,3,3.38,2,1.62,0,3.38,1.12,2.75,"Level"
"69","13-1075.00","Labor Relations Specialists",3.88,4.25,3.62,3.62,4,0,0,0,3.25,3.88,3.38,2.25,2,3.12,2.75,3.75,4.25,0.88,1.38,0.88,4.25,0.5,0.62,4.12,0,0,3.62,3.88,4.5,3.5,3.38,1.12,3.5,0,4.25,"Level"
"70","13-1081.00","Logisticians",3.38,3.88,3.88,4.38,4.25,0,0,0,3.38,3.62,3.25,2,2.12,3.88,3.25,4.5,3.62,0.62,2,4,3.88,2,2.25,4,0,1.38,3.88,3.62,3.88,3.62,3.62,0.88,3.75,0.12,3.88,"Level"
"71","13-1081.01","Logistics Engineers",4,4.12,3.88,3.62,4.12,2.12,2.88,0,3.25,3.88,3.62,2.75,3,3.5,4,3.62,3,1.25,3.12,3.5,3,2.38,2.88,4.38,2.12,2.62,3.25,3.5,4,4.12,4.12,2.38,3.88,2.75,4.12,"Level"
"72","13-1081.02","Logistics Analysts",4,3.5,3.75,3.12,4,0,0.62,0,2.88,3.88,3.25,2.5,2.38,2.62,4.25,4,2.62,0.38,2.12,2.5,3.25,1.88,2.75,4.38,0,0.88,2.62,2.88,3.38,3.88,3.75,2,3.12,1.38,3.75,"Level"
"73","13-1111.00","Management Analysts",3.62,3.88,3.62,3.38,3.88,0,0.25,0,3.5,3.88,3.25,1,2.12,3.25,3,3.88,3,0,0.5,4.12,3.38,0.25,0.75,4,0,2.38,3,3.62,3.75,3.75,3.75,0.62,3.38,0.62,3.88,"Level"
"74","13-1121.00","Meeting, Convention, and Event Planners",3.12,3.88,3.38,3.75,3.62,0,0,0,2.88,3.38,2.62,2.75,2.75,3.12,2.5,3.5,3.62,1.5,1.75,3.5,3.38,0.5,0.25,4.12,0.12,0.38,3.62,3.5,3.75,3,3.5,1,3.75,0.12,3.38,"Level"
"75","13-1131.00","Fundraisers",3.25,3.88,3.25,4.25,3.88,0,0.38,0,2.88,3.5,2.75,2.88,2.5,3.25,2.62,3.62,3.62,1.12,1.38,1.25,4.38,1,1.12,4.12,0,0.25,3.38,4,4.38,2.62,3,0.88,3.62,0,4.12,"Level"
"76","13-1141.00","Compensation, Benefits, and Job Analysis Specialists",3.75,4.25,3.5,3.25,4.25,0,0,0,3.25,3.88,3.62,2.38,1.88,3.12,3.62,3.75,3.25,0.25,1.25,3.75,3.5,1.88,1,4.25,0,3.12,3.12,3.88,4.25,3.75,3.62,1,3.25,0,3.88,"Level"
"77","13-1151.00","Training and Development Specialists",3.75,4.12,3.12,4,4,0,0.12,0,4.25,3.88,4.88,2.75,2.25,3.25,2.62,4.25,3.38,0,0.88,3.88,3.25,0.38,1.38,4.25,0,2,3.88,4.12,4.25,3.25,3.5,0.75,3.75,0,4.25,"Level"
"78","13-1161.00","Market Research Analysts and Marketing Specialists",3.88,4,3.62,3.38,3.88,0,0,0,3.12,4,3.25,2.25,1.88,3.12,3.38,3.62,2.75,0.5,1.62,3.25,3.38,2.38,1.25,4.62,0,2.5,2.62,3.38,3.88,3.88,3.75,1.12,3.5,0,4.12,"Level"
"79","13-1199.01","Energy Auditors",3.25,3.62,3.25,3.12,3.5,0.25,1,0.38,3,3.5,3.12,1.88,1.75,2.5,3.38,3.38,2.62,2.38,2.62,3.5,3.25,0.5,2.12,3.62,0.25,3.12,2.88,3.12,3.25,3.5,3.62,0.75,3.25,1.88,3.75,"Level"
"80","13-1199.02","Security Management Specialists",3.38,3.88,3.62,3.62,3.88,2,2.38,2.88,3.38,3.88,2.75,2.62,2.88,3.12,3,3.88,3.12,2.38,2.88,3.62,3.5,2.12,2.75,4.12,1.88,0.88,3.5,3.5,3.75,3.38,3.62,3,3.38,2.62,3.75,"Level"
"81","13-1199.03","Customs Brokers",3.25,3.75,3.25,3.38,3.62,0,0.38,0,2.75,3,2.88,2.5,2.38,3,3,3.62,3.38,0.38,1.5,0.62,3,1.5,0.62,3.88,0.5,0.38,3.12,3,3.5,2.88,2.75,0.88,3.12,0.38,3.62,"Level"
"82","13-1199.04","Business Continuity Planners",4,3.75,4.62,4,4.5,0,0.75,0,3.62,4.25,3.5,3.5,3.12,3.38,3.38,4.12,3.38,0.5,2.5,2.88,3.75,1.25,3.12,4.25,0,0.5,3.75,3.38,4,4,3.88,1.62,3,2,4.12,"Level"
"83","13-1199.05","Sustainability Specialists",3.25,3.75,3.62,3.5,3.88,0,0.5,0.88,3.12,3.62,3.12,2.12,2.12,3.25,2.75,3.75,3,0.38,2.38,2,3.25,1.38,2.25,4,0,1.5,3.12,3.38,3.88,3.38,3.75,1.25,3.25,1.38,3.88,"Level"
"84","13-1199.06","Online Merchants",3.12,3.62,3,2.88,3.88,0,0.75,0.12,2.62,3.25,2.5,3.38,2.88,2.5,3.12,3.62,3.12,0.25,1.38,1.5,3.12,1.75,1.12,3.75,0.25,0.25,3.25,2.75,3.38,2.38,3,1.12,2.62,0.12,3.25,"Level"
"85","13-2011.01","Accountants",3.38,3.62,3.25,3,3.88,0,0,0,2.88,3.5,2.75,2.25,1.25,2.62,3.75,3.38,2.88,0,0.88,3.25,2.75,0.5,0.25,3.75,0,1.62,3,3,3.62,3.5,3.12,0.62,2.88,0,3.38,"Level"
"86","13-2011.02","Auditors",4,4.12,3.75,3.5,4.38,0,0,0,3.5,3.88,3.25,2.62,1.75,3.5,3.75,4.12,3.25,0.12,1.75,2.88,3.62,1.88,1.75,4.38,0,1.75,3.12,3.25,4.25,4,4,0.88,3.5,0,4.25,"Level"
"87","13-2021.01","Assessors",3.38,4,3.12,2.75,4,0,0,0,2.38,3.75,2.38,1.12,0.88,2.25,4,3,2.88,1.75,2.25,1.12,3,0.88,2.5,3.88,0,0.62,3.12,3.12,3.88,2.62,2.38,0.12,3,1,3.88,"Level"
"88","13-2021.02","Appraisers, Real Estate",3.38,3.62,3,2.5,3.88,0,0.12,0,1.88,3.88,1.75,1.75,1.62,1.62,3.62,2.62,2.38,1.62,1.5,0.62,2.5,0.38,1.25,4,0,1.38,2.75,2.75,3.75,3,2.12,0.38,2.88,0.5,3.62,"Level"
