"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"15","11-3051.04","Biomass Power Plant Managers",4.42,1.62,3.65,3.92,3.95,1.95,4.13,3.35,3.79,3.56,4.17,4.79,3.51,0.03,1.45,1.07,0.82,0.08,3.33,4.26,5.04,0.81,3.91,0.87,4.22,4.9,2.77,3.51,1.58,0.83,1.43,2.01,2.65
"16","11-3061.00","Purchasing Managers",5.08,1.21,2.5,2.08,4.29,3,3.96,4.5,3.33,3.83,3.5,3.54,4.33,0.42,0.88,1.92,3.17,1,3.67,4.58,3.04,0.52,4.17,1.29,1.29,4.83,3.5,2.5,3.5,2.04,1.75,0.83,3.83
"17","11-3071.01","Transportation Managers",4.9,0.94,1.45,1.32,3.97,2.15,3.85,5.31,1.57,3.1,3.78,2.39,3.26,0.09,1.71,0.8,2.73,0.73,3.04,3.8,1.92,0.47,4.26,1.32,0.95,3.5,2.95,3.8,3.44,1.61,1.75,1.87,4.47
"18","11-3071.02","Storage and Distribution Managers",4.5,0.08,0.83,0.62,3.42,2,3,4.29,1.38,2.83,3.5,2,3.17,0,0.88,0.88,2.04,0.12,2.38,3.54,1.92,0.54,3.96,0.78,0.58,3.88,3.08,3.08,1.5,1.46,0.88,1.25,3.71
"19","11-3071.03","Logistics Managers",5,0.7,1.64,1.78,3.74,2.7,4.36,4.61,2.95,3.52,4.61,3.32,3.65,0.17,0.65,1.7,3.65,1.04,3.43,4.52,3,0.26,4.04,1.39,1.52,4.52,3.17,3.39,2.96,1.96,1.96,1.57,4.09
"20","11-3111.00","Compensation and Benefits Managers",4.67,0.1,0,0,3.43,2.9,2.35,3.95,0.24,3.33,3.86,0.19,4.33,0,0,0.71,1.05,0.67,3.6,4.9,0,1,5.71,1.57,0,0.95,3.19,1.1,2.19,2.14,0.52,1.48,1.24
"21","11-3121.00","Human Resources Managers",4.86,0.68,0.59,0.59,4.76,2.68,3.32,4.86,0.73,2.73,5,0.71,4.5,0.41,0.18,1.59,1.18,0.91,4.05,4.18,0.59,0.95,5.55,3.05,0.45,1.36,4.36,2.86,2.64,3.5,0.82,3.82,1.18
"22","11-3131.00","Training and Development Managers",4.62,0.33,0.67,0.62,4.58,3.75,3.54,5.04,1.29,2.83,6.17,1.08,5.39,1.46,0.79,1.52,1.12,1.62,2.92,3.5,1.46,0.65,4.96,2.92,0.38,2.48,3.79,2.58,3.96,4.17,2.13,3.22,1.21
"23","11-9013.01","Nursery and Greenhouse Managers",4.44,4.53,2.58,3.83,3.72,2.65,2.66,4.66,3.65,3.31,4.11,2.77,3.25,0.13,1.96,2.01,3.18,1.63,3.13,4.07,3.73,0.54,3.99,2.31,2.31,5.1,3.57,2.87,4.52,1.27,0.46,0.8,3.21
"24","11-9013.02","Farm and Ranch Managers",4.91,4.24,3.6,4.25,3.5,2.33,3.61,2.82,3.1,4.58,4.39,3.74,3.5,0.03,4.93,0.38,2.7,0.13,3.82,4.78,3.92,1.92,3.35,0.53,3.57,4.8,2.7,3.68,3.6,1.11,1.57,1.25,3.61
"25","11-9013.03","Aquacultural Managers",4.74,5.52,4.32,4.52,4,2.39,4,4.23,4.23,3.55,4.23,5.19,4,0.06,5.13,1.87,3.13,0.81,3.57,4.52,4.77,1.42,4,0.94,3.81,4.42,3.1,3.39,4.19,2,1.87,1.58,3.26
"26","11-9021.00","Construction Managers",4.68,1.36,6.2,2.44,4.44,2.43,4.12,5.04,5.24,3.36,3.48,4.72,4.16,0.28,0.08,0.56,2.46,0.88,3.28,4.56,4.16,0.4,3.64,0.64,3.12,3.28,2.79,3.84,3.16,1.08,1.96,0.84,2.44
"27","11-9031.00","Education Administrators, Preschool and Childcare Center/Program",4.33,0.88,0.09,1.1,4.6,2.56,3.23,5.25,0.53,2.94,5.36,0.11,3.82,0.82,0.85,0.81,2.7,2.02,2.48,3.44,0.62,1.76,4.41,3.7,0,0.14,3.93,2.62,2.11,3.5,0.87,3.64,0.93
"28","11-9032.00","Education Administrators, Elementary and Secondary School",4.81,1.36,1.94,1.26,4.37,3.58,4.54,5.77,2.32,3.36,6.35,1.55,5.65,2.64,0.68,2.14,2.65,3.03,3.63,3.85,1.71,1.74,4.67,3.99,0.81,2.46,4.47,4.19,3.04,4.23,1.88,4.52,1.93
"29","11-9033.00","Education Administrators, Postsecondary",4.56,0.17,1.22,0.22,3.85,3.54,3.51,5.37,0.88,2.27,5.57,1.14,5.52,0.37,0.11,1.11,1.38,1.71,2.87,3.44,0.49,0.98,4.44,3.41,0.27,1.3,4.73,2.09,3.9,4.35,1.12,4.52,1
"30","11-9039.01","Distance Learning Coordinators",4.55,0.14,0.64,0.32,4.32,4.73,4.95,5.32,3.23,2.82,6.27,1.86,5.27,1,0.23,1.23,1.14,0.64,2.18,3.05,1.09,0.23,3.68,1.68,0.5,2.45,2.77,1.18,3.64,2.91,3.55,1.14,0.82
"31","11-9039.02","Fitness and Wellness Coordinators",4.04,2.83,0.58,1.43,4.12,3.33,3.25,4.75,0.83,2.88,4.92,1.17,4.21,1.04,1.29,0.75,0.88,0.58,2.25,3.04,1.26,2.5,3.58,1.79,1.09,1.21,4.25,2.62,4.33,2.92,1.25,2.88,1.33
"32","11-9041.00","Architectural and Engineering Managers",4.89,2.44,3.94,3.59,3.2,2.9,5.16,5.18,5.58,3.34,4.13,6.1,4.55,0.77,0.5,1.33,3.72,1.01,3.79,5.29,4.45,0.91,4.02,1.17,4.29,3.88,3.29,3.78,3.44,1.68,3.02,1.42,2.47
"33","11-9041.01","Biofuels/Biodiesel Technology and Product Development Managers",3.61,2.7,3.05,4.89,3.82,2.25,4.42,3.11,2.51,2.09,3.21,4.72,3.98,0.04,0.9,0.31,2.06,0.09,2.13,4.91,3.86,0.51,2.46,0.22,3.71,3.9,1.29,2.86,1.93,0.48,1.29,0.55,2.31
"34","11-9051.00","Food Service Managers",4.29,0.88,1.52,1.36,3.13,2.54,2.24,4.7,1.06,2.58,4.78,1.47,3.41,0.91,3.96,1.69,1.49,0.91,2.47,3.31,2.08,1.59,4.25,1.11,0.88,3.91,3.01,2.89,4.08,1.37,1.69,1.74,2.18
"35","11-9061.00","Funeral Service Managers",4.13,2.66,1.33,3.49,4.45,2.89,3.88,5.7,1.2,2.84,4.33,1.06,4.2,0.27,0,0.82,2.48,1.74,3.64,3.04,1.43,2.29,3.97,4.13,0.53,1.81,4.61,2.71,2.79,2.92,1.47,2.88,2.18
"36","11-9071.00","Gaming Managers",5.02,0.42,1.14,0.88,4.05,2.65,4.35,5.46,2.11,3.55,4.25,1.85,3.86,0.44,1.26,1.54,1.32,0.93,3.19,3.99,2.33,0.64,3.78,1.36,0.79,2.9,3.72,3.14,3.54,2.1,1.91,1.79,1.15
"37","11-9081.00","Lodging Managers",4.47,0.6,1.96,1.79,4.77,2.27,4.33,4.56,1.59,3.1,3.71,1.93,3.59,1.01,0.68,1.84,3.7,1.46,2.55,4.17,1.8,1.12,4.1,2.16,0.88,2.47,2.63,3.29,4.36,0.61,2.48,1.88,2.24
"38","11-9111.00","Medical and Health Services Managers",5.61,1.68,2.11,1.07,4.25,3.21,3.76,5.54,1.57,4.86,4.21,1.59,4.82,0.69,0.97,1.36,1.11,1.43,4.24,4.1,1.64,3.38,4.93,2.28,0.45,2.82,3.93,3.41,4.28,3.44,1.64,2.93,1.52
"39","11-9121.00","Natural Sciences Managers",4.24,4.15,1.79,4.2,3.62,2.9,3.88,4.61,2.56,2.09,3.81,3.07,4.57,0.13,0.47,0.31,3.55,1.71,3.74,4.38,2.5,0.83,3.4,0.7,2.33,2.56,2.91,2.75,2.37,1.71,1.24,0.76,1.84
"40","11-9121.01","Clinical Research Coordinators",4.17,3.32,0.02,1.97,3.7,1.76,3.3,3.26,0.39,1.71,3.05,0.74,4.41,0.01,0,1.55,0.84,0.08,3.03,3.53,0.38,3.82,2.97,1.01,0.58,1.15,2.79,1.97,0.95,1.81,1.05,2.36,1.07
"41","11-9121.02","Water Resource Specialists",4.36,4.5,4,4.62,2.61,2.83,4.55,4.76,5.07,2.96,3.83,5.76,4.46,0.24,0.69,1.24,5.07,2.38,4.04,5.38,3.03,0.69,3.1,0.79,4.72,1.97,2,4,3.5,2,1.86,0.17,2.62
"42","11-9131.00","Postmasters and Mail Superintendents",4.15,0.45,0.26,0.9,4.44,2.88,4.12,4.86,0.53,3.2,4.56,1.42,4.1,0.09,0.25,0.35,1.7,0.74,1.81,3.63,1.2,0.63,3.85,1.65,0.55,4.52,3.7,4.1,2.14,2.06,1.24,2.16,1.94
"43","11-9141.00","Property, Real Estate, and Community Association Managers",5.08,0.27,3.77,1.58,5.19,2.81,3.46,5.46,2.04,4.85,3.62,2.08,4.38,0.04,0.15,1.46,1.42,0.42,3.65,3.73,2.96,0.15,4.27,1.65,0.77,1.12,3.15,4.23,3.77,2.15,1.65,1.23,1.38
"44","11-9151.00","Social and Community Service Managers",4.41,1.07,0.65,0.78,4.27,2.91,4.03,5.69,1.4,2.41,4.83,1.15,4.51,1.22,1.58,1.35,2.18,1.67,3.57,3.56,1.23,2.78,4.28,3.52,0.67,1.84,5.21,3.29,3.14,3.96,1.22,5.26,2.43
"45","11-9161.00","Emergency Management Directors",4.81,2.59,3.19,3.33,4.52,3.85,4.56,5.22,3.3,3.26,5.44,3.41,4.56,0.3,1.26,1.59,4.3,2.48,4.48,3.56,2.81,2.26,4.3,2.63,2.67,3.11,4.11,5.44,3.37,3.56,3.59,2.93,3.93
"46","11-9199.01","Regulatory Affairs Managers",4.42,4.3,1.12,3.94,4.52,3,3.94,3.97,2.12,1.09,4.55,2.64,4.97,0.15,0.97,1.58,2.06,1.12,4.47,3.88,1.58,3.66,3.7,1.45,1.45,3.24,3.24,2.69,3.03,2.06,1.31,1.61,1.3
"47","11-9199.02","Compliance Managers",4.16,2.14,0.94,2.22,3.23,2.42,3.9,4.07,0.78,1.23,4.57,1.27,4.56,0,0.46,0.55,1.54,0.48,4.08,3.75,0.74,0.79,3.36,0.96,1.92,1.37,1.3,2.72,0.63,1.12,0.81,0.53,1.73
"48","11-9199.03","Investment Fund Managers",4.67,0.62,0,0.3,1.96,2.92,3.5,4.55,0.3,5.48,3.1,1.18,4.9,0.39,0.05,0.56,2.21,2.42,3.64,5.46,0.24,0.82,3.08,0.87,0.57,1.39,2.69,0.64,4.07,2.16,1.67,0.61,1.22
"49","11-9199.04","Supply Chain Managers",4.93,0.41,0.89,1.48,3.19,2.3,4.15,4.78,3.15,3.69,4.3,3.3,3.93,0,1.7,2.04,3.41,0.63,3.19,4.67,1.85,0.11,4,1.59,0.85,5.11,2.52,2.44,3.78,1,1.62,0.93,4.04
"50","11-9199.07","Security Managers",4.75,1.4,3.4,2.05,3.6,3.3,4.15,5.7,2.6,2.95,5.45,3.1,4.85,0.3,0.4,1.8,3.95,1.75,4,3.7,2.5,2.1,3.95,2.3,1.3,1.3,4.45,5.35,2.9,3.15,2.7,3.6,3.2
"51","11-9199.08","Loss Prevention Managers",4.76,0.79,1.8,0.88,3.88,2.92,4.21,5,2.04,3.44,5.24,2.33,4.28,0.32,1.08,1.88,2.32,1.4,3.84,4.08,2.21,0.92,4.36,2.08,1,2.62,4.21,5.04,2.71,3.08,2.08,2.08,2.04
"52","11-9199.11","Brownfield Redevelopment Specialists and Site Managers",4.08,3.96,3.64,3.92,4.2,2.96,4.04,4.04,3.92,3.44,3.56,4.12,4.52,0.16,0.72,0.72,4.04,2,4.04,4.52,2.68,0.52,2.84,0.88,3.04,1.76,1.56,3.56,3.36,1.84,1.4,0.48,2.62
"53","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes",4.34,0.02,0.08,0,4.68,4.33,3.8,5.25,0.95,3.05,2.1,0.43,4.32,3.75,0.19,1.03,2.17,0.96,2.37,3.08,0.42,0.08,3.26,2,0.02,2.33,2.92,1.34,4.99,1.77,1.63,1.67,2.06
"54","13-1021.00","Buyers and Purchasing Agents, Farm Products",4.78,2,2.11,1.55,4.22,2.3,4.54,4.68,2.51,4.14,4.02,3.01,4.34,0.39,3.82,0.74,3.17,1.65,3.77,4.62,2.57,0.89,2.68,0.51,1.27,4.08,2.3,3.75,3.96,1.42,2.13,1.2,4.18
"55","13-1022.00","Wholesale and Retail Buyers, Except Farm Products",3.52,0.18,1.49,1.79,3.96,2.75,4.16,4.51,1.16,3.31,1.61,1.54,3.97,0.03,0.46,1,0.59,0.27,2.01,4.15,2.69,0.08,1.39,0.42,1.47,2.28,0.95,1.21,4.4,0.81,1.76,0.32,1.74
"56","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.75,1.4,2.5,1.95,4.75,2.2,4.15,4.4,2.9,3.8,3.95,3.3,4.4,0.8,1.55,1.35,2.9,1.45,4.25,4.15,3.15,0.9,3.35,2.3,1.55,4.2,2.9,2.6,3.5,2.35,2,1.45,3.8
"57","13-1031.01","Claims Examiners, Property and Casualty Insurance",3.73,0.57,2.64,1.15,3.53,2.47,3.47,5.41,1.42,2.02,3.14,0.74,4.25,0.11,0.22,0.86,1.01,0.5,3.76,3.56,1.92,1.61,1.66,1.24,0.85,1.55,2.53,2.16,1.51,1.55,1.26,1.45,1.62
"58","13-1031.02","Insurance Adjusters, Examiners, and Investigators",2.65,0.59,2.51,0.73,4.49,2.46,2.8,5.47,1.6,1.24,3.03,1.06,4.68,0.24,0.48,0.81,1.77,0.35,3.11,3.42,1.98,1.41,2.03,0.99,1.38,1.03,2.07,1.63,1.27,0.74,1.34,0.8,0.87
"59","13-1032.00","Insurance Appraisers, Auto Damage",3.75,0.56,2.4,0.94,2.73,2.02,4.27,5.37,2.01,1.72,3.41,1.89,3.91,0.46,0.36,1.54,2.13,0.57,3.76,3.56,3.08,2.41,1.59,0.77,1.55,2.29,2.63,3.21,1.82,1.36,2.54,2,2.93
"60","13-1041.01","Environmental Compliance Inspectors",3.76,3.85,2.62,4.24,4.1,3.05,4.29,4.05,3.1,1.81,3.9,3.76,4.48,0.43,1.76,1.52,3.7,1.19,4.19,4.33,3.14,1.86,2.48,0.9,3.43,2.9,2.32,3.67,1.24,2.15,1.38,1.14,2.67
"61","13-1041.02","Licensing Examiners and Inspectors",3.36,1.01,0.81,1.01,3.69,1.99,4.08,4.8,0.2,1.14,3.4,0.46,4.04,0.17,0,1.35,0.85,0.6,4.09,2.92,1.11,1.66,1.01,1.72,0.85,1.1,2.64,3.41,0.34,2.08,1.67,1.86,1.67
"62","13-1041.03","Equal Opportunity Representatives and Officers",3.69,0.26,0.43,0.34,3.98,2.86,3.36,4.98,0.61,1.52,4.16,0.4,4.7,0.13,0.31,1.21,0.94,2.33,4.63,3.5,0.47,0.75,4.58,2.93,0.27,1.13,3.47,1.94,1.74,4.35,0.94,2.96,1.03
"63","13-1041.04","Government Property Inspectors and Investigators",3.51,1.14,3.39,2.78,4.19,2.41,4.5,4.75,2.52,1.17,2.7,3.75,4.08,0,0,0.26,1.32,0.58,3.23,3.63,3.94,0.49,1.79,0.66,1.31,2.83,1.16,4.06,1.47,1.08,0.96,0.33,3.18
"64","13-1041.06","Coroners",4.45,4.29,0.74,3.23,4.87,3.81,3.87,5.43,1.42,3.32,4.94,1.81,4.77,0.42,0.4,1.9,2.61,1.9,4.52,3.48,1.81,4.6,4.1,3.26,2.13,1.63,4.48,4.39,0.61,3.47,2.74,3.48,2.65
"65","13-1041.07","Regulatory Affairs Specialists",3.77,3.47,0.5,3.06,4.55,2.34,3.69,3.28,2.16,0.69,3.28,2.31,4.78,0.06,0.53,1.19,1.38,0.69,4.45,3.47,1.09,2.97,1.97,0.94,1.5,2.72,1.81,1.75,2.25,1.22,1.22,0.56,1.38
"66","13-1051.00","Cost Estimators",4.04,0.39,3.32,1.54,3.61,2.04,4.36,3.29,3.82,3.57,2.96,4.68,4.25,0.29,0.29,0.93,2,0.61,2.93,5.5,3.25,0.25,2.68,0.29,2.5,3.25,1.21,2.61,1.82,0.96,1.89,0.21,2.64
"67","13-1071.00","Human Resources Specialists",4.68,0.05,0.66,0.09,5.99,1.96,4.06,4.34,1.3,2.3,3.07,0.78,4.05,0.1,0.01,0.14,0.46,0.22,2.68,2.98,0.37,0.42,5.66,2.16,0.07,1.13,2.35,2.13,1.72,1.9,1.29,2.33,0.5
"68","13-1074.00","Farm Labor Contractors",2.67,1.06,0.6,1.43,2.19,2.26,1.91,3.58,0.61,3.1,3.35,1.1,2.21,0.38,4.45,3.75,1.24,0.38,2.47,3.47,2.18,1.78,4.19,0.59,0.39,3.67,1.96,2.3,0.78,0.76,1.18,1.34,1.77
"69","13-1075.00","Labor Relations Specialists",4.65,0.3,0.65,0.55,3.6,3.4,3.35,4.2,0.55,3.15,4.45,0.8,4.95,0.55,0.25,1.15,0.85,1.55,3.95,3.75,0.7,0.45,5.2,2.1,0.35,1.75,3.45,2.5,2.15,2.85,1,2.9,1.4
"70","13-1081.00","Logisticians",5.04,0.96,1.41,2.97,3.95,3.13,5.2,5.5,2.07,3.67,4.77,3.47,4.69,1.32,0.98,2.22,3.74,0.75,3.82,4.44,2.14,1.52,3.47,0.95,1.11,3.8,2.01,4.43,3.45,1,3.67,1.46,3.62
"71","13-1081.01","Logistics Engineers",4.55,0.9,2.73,2.77,3.91,2.73,4.59,4.36,4.36,2.55,4.73,5.32,4.64,0.41,0.33,1.05,3.05,0.59,3.41,4.77,4.32,0.68,2.95,0.64,3.18,3.82,2.18,3.68,2.77,1.18,3.45,0.59,3.82
"72","13-1081.02","Logistics Analysts",4.24,0.96,1.46,1.32,3.6,2.76,4.67,4.32,2.71,2.84,3.79,3.46,4.5,0.4,0.84,1.44,3.32,1.16,3.32,4.62,2.84,0.67,3.08,1.28,1.84,3.68,1.84,3.52,2.36,1.4,2.68,1.5,4.04
"73","13-1111.00","Management Analysts",4.75,0.5,1.72,0.57,5.03,2.76,4.53,5.7,2.27,3.61,4.25,2.42,4.31,0.17,0.17,2.16,1.81,1,2.91,2.99,1.99,0.54,4.44,1.79,0.86,2.32,3.46,2.5,4.1,2.94,1.87,2.28,1.9
"74","13-1121.00","Meeting, Convention, and Event Planners",4,0.16,0.81,0.6,5.03,3.01,3.25,5.53,1.65,2.66,2.66,1.13,4.69,0.61,1.09,1.18,2.12,0.67,1.81,3.16,0.52,0.35,3.15,1.47,0.36,2.03,2.54,3.03,4.39,1.97,1.09,0.59,2.18
"75","13-1131.00","Fundraisers",4.66,0.09,0.19,0.06,4.41,3.25,4.06,5.69,0.78,3.66,3.59,0.09,4.59,0.66,0.19,0.59,1,1.12,2.75,3.94,0.06,0.19,3.62,1.84,0.03,0.56,2.59,0.81,5,2.19,0.53,0.66,0.91
"76","13-1141.00","Compensation, Benefits, and Job Analysis Specialists",3.9,0,0,0,3.35,2.26,2.85,3.16,0.35,2.8,2.9,0.3,4.45,0.15,0,0.4,0.1,0.25,3.25,4.15,0,0.55,5.25,0.75,0,0.55,2.3,0.95,1.47,1.5,0.47,0.6,0.47
"77","13-1151.00","Training and Development Specialists",4,0.43,0.14,0.31,4.06,3.69,3.86,4.83,1.19,1.63,6.92,0.81,5.69,1,0.11,1.19,1.11,1.5,2.11,3.03,0.31,0.5,4.42,2.33,0.28,1.17,4.11,1.43,3.47,3.91,0.71,2.72,0.5
"78","13-1161.00","Market Research Analysts and Marketing Specialists",4.33,0.46,0.42,0.33,4.5,3.33,4.5,4.88,1.33,3.17,3.75,1.5,4.92,0.33,0.29,1.92,3.17,1.79,2.21,4.29,0.54,0.75,3.58,1.96,0.17,2.29,3,0.33,4.92,3.12,1.25,0.62,1
"79","13-1199.01","Energy Auditors",3.33,1.24,4.71,1.8,4.21,1.75,3.67,4.12,3.42,2.08,2.48,3.21,3.57,0,0.08,0.88,1.29,0.08,2.04,3.79,3.71,0.17,2,0.36,3.5,1.6,1.71,2.33,3.71,0.68,0.61,0,1.36
"80","13-1199.02","Security Management Specialists",4.42,1,4.27,1.27,4.04,2.69,4.81,5.19,4.42,2.88,4.92,4.58,4.38,0.19,0.64,1.4,3.38,1,3.38,3.81,3.56,0.96,4.19,1.19,1.92,3.08,3.12,4.69,3.69,2.04,3.62,1.35,2.35
"81","13-1199.03","Customs Brokers",4.08,0.52,0.3,0.96,4.96,1.89,3.11,5,0.67,3.26,3.44,0.56,3.85,0.3,0.56,1.63,3.63,0.33,3.93,3.63,0.63,0.52,2.89,0.41,0.56,2.37,1.33,1.85,3.85,0.78,1.37,0.07,3.7
"82","13-1199.04","Business Continuity Planners",4.67,0.57,1.7,1.2,3.97,3.7,4.47,4.83,2.59,3.13,4.67,2.93,4.67,0.2,0.2,1.2,3.21,1.2,3.7,3.4,1.33,0.8,3.6,1.27,0.97,3.07,3.1,4.33,3.1,2.45,3.13,1.47,2.47
"83","13-1199.05","Sustainability Specialists",4.25,2.89,4.04,2.75,3.57,2.75,2.74,3.75,4.22,2.39,5.04,4.07,4.22,0.67,0.96,0.74,3.79,1.56,3.21,4.11,2.36,0.71,1.93,1.89,2.68,1.68,2.93,2.63,3.64,3.21,1.14,0.54,3.14
"84","13-1199.06","Online Merchants",4.08,0.16,1.45,0.46,4.86,3.54,4.17,4.8,2.76,3.7,3.02,1.9,5.08,1.29,0,0.76,1.71,0.36,1.3,3.78,1.96,0.22,3.1,0.34,1.04,3.31,1.54,1.25,5.21,1.06,2.05,0.48,1.23
"85","13-2011.01","Accountants",4,0.03,0.4,0.22,5.34,2.13,4.34,4.23,0.59,5.54,1.94,0.56,3.64,0.01,0.34,0.84,0.57,0.41,2.99,4.91,0.51,0.08,3.21,0.43,0.22,1.84,1.4,1.7,1.95,0.81,1.16,0.33,1.25
"86","13-2011.02","Auditors",4.64,0.12,1.04,0.12,3.32,2.04,4.32,3.44,0.72,5.4,3.16,1.48,4.68,0.44,0.48,1.12,1,0.44,3.48,4.4,0.92,0.2,3.68,1.04,0.12,2.28,2.04,1.24,2.52,1.12,1.08,1.08,1.2
"87","13-2021.01","Assessors",3.63,0.37,3.52,0.3,4.77,2.14,4.17,5.14,2.56,3.6,3.53,1.08,3.98,0.24,1.3,0.51,3.81,1.08,4.12,4.63,1.26,0.15,2.3,0.57,0.38,1.31,2.1,2.34,1.48,0.91,1.22,0.5,1.6
"88","13-2021.02","Appraisers, Real Estate",3.95,0.4,4.35,0.11,4,2.16,4.2,3.72,2.35,3.2,2.89,1.37,4.47,0.35,0.68,0.55,3.53,1.2,4.16,4.39,1.78,0.21,2.16,0.6,0.5,2.17,1.35,2.79,3.35,1.6,1.53,0.26,2.25
