,Id2,Id,Url,Category,Description,Green Occupational Category
23,11-9013.02,Farm and Ranch Managers,http://www.bls.gov/soc/2010/soc119013.htm,11,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, or supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, financial, or marketing activities.",Green Enhanced Skills
24,11-9013.03,Aquacultural Managers,http://www.bls.gov/soc/2010/soc119013.htm,11,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",
25,11-9021.00,Construction Managers,http://www.bls.gov/soc/2010/soc119021.htm,11,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Green Enhanced Skills
26,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",http://www.bls.gov/soc/2010/soc119031.htm,11,"Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.",
27,11-9032.00,"Education Administrators, Elementary and Secondary School",http://www.bls.gov/soc/2010/soc119032.htm,11,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools.",
28,11-9033.00,"Education Administrators, Postsecondary",http://www.bls.gov/soc/2010/soc119033.htm,11,"Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.",
29,11-9039.01,Distance Learning Coordinators,http://www.bls.gov/soc/2010/soc119039.htm,11,Coordinate day-to-day operations of distance learning programs and schedule courses.,
30,11-9039.02,Fitness and Wellness Coordinators,http://www.bls.gov/soc/2010/soc119039.htm,11,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",
31,11-9041.00,Architectural and Engineering Managers,http://www.bls.gov/soc/2010/soc119041.htm,11,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Green Enhanced Skills
32,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,http://www.bls.gov/soc/2010/soc119041.htm,11,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Green New & Emerging
33,11-9051.00,Food Service Managers,http://www.bls.gov/soc/2010/soc119051.htm,11,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",
34,11-9061.00,Funeral Service Managers,http://www.bls.gov/soc/2010/soc119061.htm,11,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",
35,11-9071.00,Gaming Managers,http://www.bls.gov/soc/2010/soc119071.htm,11,"Plan, direct, or coordinate gaming operations in a casino. May formulate house rules.",
36,11-9081.00,Lodging Managers,http://www.bls.gov/soc/2010/soc119081.htm,11,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",
37,11-9111.00,Medical and Health Services Managers,http://www.bls.gov/soc/2010/soc119111.htm,11,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",
38,11-9121.00,Natural Sciences Managers,http://www.bls.gov/soc/2010/soc119121.htm,11,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Green Increased Demand
39,11-9121.01,Clinical Research Coordinators,http://www.bls.gov/soc/2010/soc119121.htm,11,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",
40,11-9121.02,Water Resource Specialists,http://www.bls.gov/soc/2010/soc119121.htm,11,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Green New & Emerging
41,11-9131.00,Postmasters and Mail Superintendents,http://www.bls.gov/soc/2010/soc119131.htm,11,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",
42,11-9141.00,"Property, Real Estate, and Community Association Managers",http://www.bls.gov/soc/2010/soc119141.htm,11,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",
43,11-9151.00,Social and Community Service Managers,http://www.bls.gov/soc/2010/soc119151.htm,11,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",
44,11-9161.00,Emergency Management Directors,http://www.bls.gov/soc/2010/soc119161.htm,11,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",
45,11-9199.01,Regulatory Affairs Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Green New & Emerging
46,11-9199.02,Compliance Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Green New & Emerging
47,11-9199.03,Investment Fund Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",
48,11-9199.04,Supply Chain Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Green New & Emerging
49,11-9199.07,Security Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Direct an organization's security functions, including physical security and safety of employees, facilities, and assets.",
50,11-9199.08,Loss Prevention Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",
51,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,http://www.bls.gov/soc/2010/soc119199.htm,11,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Green New & Emerging
52,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",http://www.bls.gov/soc/2010/soc131011.htm,13,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",
53,13-1021.00,"Buyers and Purchasing Agents, Farm Products",http://www.bls.gov/soc/2010/soc131021.htm,13,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers.",Green Increased Demand
54,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",http://www.bls.gov/soc/2010/soc131022.htm,13,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products.",Green Enhanced Skills
55,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",http://www.bls.gov/soc/2010/soc131023.htm,13,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing.",
56,13-1031.01,"Claims Examiners, Property and Casualty Insurance",http://www.bls.gov/soc/2010/soc131031.htm,13,"Review settled insurance claims to determine that payments and settlements have been made in accordance with company practices and procedures. Report overpayments, underpayments, and other irregularities. Confer with legal counsel on claims requiring litigation.",
57,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",http://www.bls.gov/soc/2010/soc131031.htm,13,"Investigate, analyze, and determine the extent of insurance company's liability concerning personal, casualty, or property loss or damages, and attempt to effect settlement with claimants. Correspond with or interview medical specialists, agents, witnesses, or claimants to compile information. Calculate benefit payments and approve payment of claims within a certain monetary limit.",
58,13-1032.00,"Insurance Appraisers, Auto Damage",http://www.bls.gov/soc/2010/soc131032.htm,13,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,
59,13-1041.01,Environmental Compliance Inspectors,http://www.bls.gov/soc/2010/soc131041.htm,13,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",
60,13-1041.02,Licensing Examiners and Inspectors,http://www.bls.gov/soc/2010/soc131041.htm,13,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits.",
61,13-1041.03,Equal Opportunity Representatives and Officers,http://www.bls.gov/soc/2010/soc131041.htm,13,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",
62,13-1041.04,Government Property Inspectors and Investigators,http://www.bls.gov/soc/2010/soc131041.htm,13,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,
63,13-1041.06,Coroners,http://www.bls.gov/soc/2010/soc131041.htm,13,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",
64,13-1041.07,Regulatory Affairs Specialists,http://www.bls.gov/soc/2010/soc131041.htm,13,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Green New & Emerging
65,13-1051.00,Cost Estimators,http://www.bls.gov/soc/2010/soc131051.htm,13,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",
66,13-1071.00,Human Resources Specialists,http://www.bls.gov/soc/2010/soc131071.htm,13,"Perform activities in the human resource area. Includes employment specialists who screen, recruit, interview, and place workers.",
67,13-1074.00,Farm Labor Contractors,http://www.bls.gov/soc/2010/soc131074.htm,13,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",
68,13-1075.00,Labor Relations Specialists,http://www.bls.gov/soc/2010/soc131075.htm,13,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",
69,13-1081.00,Logisticians,http://www.bls.gov/soc/2010/soc131081.htm,13,"Analyze and coordinate the logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",
70,13-1081.01,Logistics Engineers,http://www.bls.gov/soc/2010/soc131081.htm,13,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",Green New & Emerging
71,13-1081.02,Logistics Analysts,http://www.bls.gov/soc/2010/soc131081.htm,13,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",Green New & Emerging
72,13-1111.00,Management Analysts,http://www.bls.gov/soc/2010/soc131111.htm,13,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",
73,13-1121.00,"Meeting, Convention, and Event Planners",http://www.bls.gov/soc/2010/soc131121.htm,13,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",
74,13-1131.00,Fundraisers,http://www.bls.gov/soc/2010/soc131131.htm,13,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",
75,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",http://www.bls.gov/soc/2010/soc131141.htm,13,"Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",
76,13-1151.00,Training and Development Specialists,http://www.bls.gov/soc/2010/soc131151.htm,13,Design and conduct training and development programs to improve individual and organizational performance. May analyze training needs.,Green Enhanced Skills
77,13-1161.00,Market Research Analysts and Marketing Specialists,http://www.bls.gov/soc/2010/soc131161.htm,13,"Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution.",
78,13-1199.01,Energy Auditors,http://www.bls.gov/soc/2010/soc131199.htm,13,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",Green New & Emerging
79,13-1199.02,Security Management Specialists,http://www.bls.gov/soc/2010/soc131199.htm,13,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security, personnel security, and information security. May work in fields such as health care, banking, gaming, security engineering, or manufacturing.",
80,13-1199.03,Customs Brokers,http://www.bls.gov/soc/2010/soc131199.htm,13,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,
81,13-1199.04,Business Continuity Planners,http://www.bls.gov/soc/2010/soc131199.htm,13,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",
82,13-1199.05,Sustainability Specialists,http://www.bls.gov/soc/2010/soc131199.htm,13,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",Green New & Emerging
83,13-1199.06,Online Merchants,http://www.bls.gov/soc/2010/soc131199.htm,13,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",
84,13-2011.01,Accountants,http://www.bls.gov/soc/2010/soc132011.htm,13,"Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, tax liability, or other financial activities within an organization.",
85,13-2011.02,Auditors,http://www.bls.gov/soc/2010/soc132011.htm,13,Examine and analyze accounting records to determine financial status of establishment and prepare financial reports concerning operating procedures.,
86,13-2021.01,Assessors,http://www.bls.gov/soc/2010/soc132021.htm,13,Appraise real and personal property to determine its fair value. May assess taxes in accordance with prescribed schedules.,
87,13-2021.02,"Appraisers, Real Estate",http://www.bls.gov/soc/2010/soc132021.htm,13,"Appraise real property to determine its value for purchase, sales, investment, mortgage, or loan purposes.",
88,13-2031.00,Budget Analysts,http://www.bls.gov/soc/2010/soc132031.htm,13,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",
89,13-2041.00,Credit Analysts,http://www.bls.gov/soc/2010/soc132041.htm,13,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decision making.,
90,13-2051.00,Financial Analysts,http://www.bls.gov/soc/2010/soc132051.htm,13,Conduct quantitative analyses of information affecting investment programs of public or private institutions.,Green Enhanced Skills
91,13-2052.00,Personal Financial Advisors,http://www.bls.gov/soc/2010/soc132052.htm,13,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives.",Green Enhanced Skills
92,13-2053.00,Insurance Underwriters,http://www.bls.gov/soc/2010/soc132053.htm,13,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,
93,13-2061.00,Financial Examiners,http://www.bls.gov/soc/2010/soc132061.htm,13,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",
94,13-2071.00,Credit Counselors,http://www.bls.gov/soc/2010/soc132071.htm,13,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explaining loan requirements or restrictions. May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling.",
95,13-2071.01,Loan Counselors,http://www.bls.gov/soc/2010/soc132071.htm,13,Provide guidance to prospective loan applicants who have problems qualifying for traditional loans. Guidance may include determining the best type of loan and explaining loan requirements or restrictions.,
96,13-2072.00,Loan Officers,http://www.bls.gov/soc/2010/soc132072.htm,13,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters.",
97,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",http://www.bls.gov/soc/2010/soc132081.htm,13,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,
98,13-2082.00,Tax Preparers,http://www.bls.gov/soc/2010/soc132082.htm,13,Prepare tax returns for individuals or small businesses.,
99,13-2099.02,Risk Management Specialists,http://www.bls.gov/soc/2010/soc132099.htm,13,"Analyze and manage risk management issues by identifying, measuring, and making decisions on operational or enterprise risks for an organization.",Green New & Emerging
100,13-2099.04,"Fraud Examiners, Investigators and Analysts",http://www.bls.gov/soc/2010/soc132099.htm,13,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",
101,15-1111.00,Computer and Information Research Scientists,http://www.bls.gov/soc/2010/soc151111.htm,15,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",
102,15-1121.00,Computer Systems Analysts,http://www.bls.gov/soc/2010/soc151121.htm,15,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software.",
103,15-1121.01,Informatics Nurse Specialists,http://www.bls.gov/soc/2010/soc151121.htm,15,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",
104,15-1122.00,Information Security Analysts,http://www.bls.gov/soc/2010/soc151122.htm,15,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",
105,15-1131.00,Computer Programmers,http://www.bls.gov/soc/2010/soc151131.htm,15,"Create, modify, and test the code, forms, and script that allow computer applications to run. Work from specifications drawn up by software developers or other individuals. May assist software developers by analyzing user needs and designing software solutions. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",
106,15-1132.00,"Software Developers, Applications",http://www.bls.gov/soc/2010/soc151132.htm,15,"Develop, create, and modify general computer applications software or specialized utility programs. Analyze user needs and develop software solutions. Design software or customize software for client use with the aim of optimizing operational efficiency. May analyze and design databases within an application area, working individually or coordinating database development as part of a team. May supervise computer programmers.",
107,15-1133.00,"Software Developers, Systems Software",http://www.bls.gov/soc/2010/soc151133.htm,15,"Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. May design embedded systems software. Apply principles and techniques of computer science, engineering, and mathematical analysis.",Green Increased Demand
108,15-1134.00,Web Developers,http://www.bls.gov/soc/2010/soc151134.htm,15,"Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content.",
109,15-1141.00,Database Administrators,http://www.bls.gov/soc/2010/soc151141.htm,15,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. May plan, coordinate, and implement security measures to safeguard computer databases.",
110,15-1142.00,Network and Computer Systems Administrators,http://www.bls.gov/soc/2010/soc151142.htm,15,"Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures.",
111,15-1143.00,Computer Network Architects,http://www.bls.gov/soc/2010/soc151143.htm,15,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",
112,15-1143.01,Telecommunications Engineering Specialists,http://www.bls.gov/soc/2010/soc151143.htm,15,"Design or configure voice, video, and data communications systems. Supervise installation and post-installation service and maintenance.",
113,15-1151.00,Computer User Support Specialists,http://www.bls.gov/soc/2010/soc151151.htm,15,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",
114,15-1152.00,Computer Network Support Specialists,http://www.bls.gov/soc/2010/soc151152.htm,15,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Perform network maintenance to ensure networks operate correctly with minimal interruption.",
115,15-1199.01,Software Quality Assurance Engineers and Testers,http://www.bls.gov/soc/2010/soc151199.htm,15,Develop and execute software test plans in order to identify software problems and their causes.,
116,15-1199.02,Computer Systems Engineers/Architects,http://www.bls.gov/soc/2010/soc151199.htm,15,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",
117,15-1199.03,Web Administrators,http://www.bls.gov/soc/2010/soc151199.htm,15,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",
118,15-1199.04,Geospatial Information Scientists and Technologists,http://www.bls.gov/soc/2010/soc151199.htm,15,"Research or develop geospatial technologies. May produce databases, perform applications programming, or coordinate projects. May specialize in areas such as agriculture, mining, health care, retail trade, urban planning, or military intelligence.",Green New & Emerging
119,15-1199.05,Geographic Information Systems Technicians,http://www.bls.gov/soc/2010/soc151199.htm,15,"Assist scientists, technologists, or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",Green New & Emerging
120,15-1199.06,Database Architects,http://www.bls.gov/soc/2010/soc151199.htm,15,"Design strategies for enterprise database systems and set standards for operations, programming, and security. Design and construct large relational databases. Integrate new systems with existing warehouse structure and refine system performance and functionality.",
121,15-1199.08,Business Intelligence Analysts,http://www.bls.gov/soc/2010/soc151199.htm,15,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,
