"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"39","11-9121.00","Natural Sciences Managers",3.38,3.88,3.75,3.38,3.88,1,1.12,1,3,3.75,3.25,2.75,2.5,3.62,3.25,3.5,2.88,1.75,1.88,3.25,3,1.88,2.12,4,1,3.75,2.88,3.38,4,3.12,3.25,2.62,3.38,1.5,4.12,"Importance"
"40","11-9121.01","Clinical Research Coordinators",3.5,4,3.5,4,3.75,1,1,1,3.25,3.62,3,2.5,2.88,3.62,2.62,3.62,3.25,1,1.88,1.38,3.25,1.62,1.38,4,1.12,2.75,3.38,3.5,3.88,2.62,2.88,1.5,3.62,1.12,4,"Importance"
"41","11-9121.02","Water Resource Specialists",3.25,3.88,3.88,3.12,3.75,1,1.25,1,3,3.62,2.75,2.38,2.38,2.88,3.38,3.38,2.88,2.12,2.88,2.5,3,2,2.88,4,1,2.88,3,3,3.62,3.88,3.75,2,3.62,2.12,3.75,"Importance"
"42","11-9131.00","Postmasters and Mail Superintendents",3.25,3.88,3.25,3.75,4,1,1.25,1,3,3.25,3.25,2.62,2.62,3.62,2.75,3.75,3.5,1.12,2.5,2.5,3.25,1.75,2.25,3.62,1,1.62,3.12,3.75,3.88,3,2.88,1.62,3.75,2,3.38,"Importance"
"43","11-9141.00","Property, Real Estate, and Community Association Managers",3,3.88,3,3.88,3.5,1.12,1.25,1,2.88,3.25,2.88,2.88,2.62,3.12,2.75,3,3.62,1.5,1.75,2.5,3.5,1.5,2.25,3.75,1,1.5,3.12,3.5,4,2.12,2.25,1.25,3,1.62,3.5,"Importance"
"44","11-9151.00","Social and Community Service Managers",3.62,4.25,3.75,4,4,1,1,1,3.5,4,3.5,3.25,3,4,3.12,3.88,3.25,1.75,2,2.88,3.38,1.62,1.88,3.88,1,2.5,3.88,4,4.12,3.75,3.62,1.62,4.12,1,3.75,"Importance"
"45","11-9161.00","Emergency Management Directors",3.5,3.88,4,4,4,1,1.12,1,3.75,3.88,3.75,2.75,2.88,3.38,2.88,3.75,3.5,2.12,2.12,2.88,3.5,1.62,2.38,3.88,1,2,4.12,3.62,4,3.62,3.38,1.5,3.5,1.62,3.88,"Importance"
"46","11-9199.01","Regulatory Affairs Managers",3.38,3.88,3.5,3.75,3.88,1,1,1,3.5,3.88,2.88,2.12,2,3.5,2.5,3.75,3.5,1.25,1.75,3.38,3.38,1.38,1.12,4.12,1,2.5,3.12,3.38,4,3.62,3.38,1.38,3.75,1,4,"Importance"
"47","11-9199.02","Compliance Managers",3.62,3.88,3.25,3.75,4,1,1,1,3.38,3.5,3.38,2.12,1.88,2.88,2.12,3.88,3.38,1.25,2,1.88,3.5,1.62,1.75,4,1,1.38,2.88,3.62,3.62,3,3,1.62,3.25,1,3.75,"Importance"
"48","11-9199.03","Investment Fund Managers",3.75,4,3.75,3.12,4,1,1,1,3,3.88,2.88,2.75,2.25,2.88,3.38,3.5,3,1,1.88,2,3.12,1.75,1.5,4,1,1,2.88,3,3.88,3.38,3.25,1.88,3.25,1,3.62,"Importance"
"49","11-9199.04","Supply Chain Managers",3.5,4,3.88,3.88,3.75,1,1,1,3.25,3.75,3,2.88,3.5,3.38,2.88,3.88,3.5,1,1.88,2,3.5,1.5,1.5,4,1,1,3.12,3.62,4,3.62,3.62,1.62,3.62,1,3.62,"Importance"
"50","11-9199.07","Security Managers",3.25,3.88,3.62,3.38,4,1.12,1.38,1.12,3.25,3.75,2.88,2.75,2.62,3.38,2.38,3.62,3.12,2.12,2.5,2.12,3.12,1.75,2.75,4,1,1.62,3.12,3.62,4,3.5,3.25,1.75,3.38,1.88,3.75,"Importance"
"51","11-9199.08","Loss Prevention Managers",3.5,4,3.62,3.88,4,1.12,1.12,1.12,3.75,3.88,3.38,2.12,2.38,3.5,2.5,4,3.5,2.12,2.62,1.88,3.75,1.75,2.5,4,1,1,3.5,3.62,4,3.62,3.62,1.88,3.88,2,3.88,"Importance"
"52","11-9199.11","Brownfield Redevelopment Specialists and Site Managers",3.12,3.75,3.88,3.88,4,1,1.38,1,2.88,3.75,2.75,3.38,3.12,3.25,3.5,3.5,3.62,1.88,2.5,2.5,3.38,1.62,2.62,3.88,1,2.62,2.88,3.38,4,3.5,3.5,2.12,3.5,1.88,3.75,"Importance"
"53","13-1011.00","Agents and Business Managers of Artists, Performers, and Athletes",3.5,4,3.5,3.62,3.88,1,1,1,2.88,3.25,2.5,2.38,1.88,3.38,2.25,3.12,4,1.62,1.62,2.25,4.12,1.62,1,3.88,1,1.5,3.38,4,4.12,2.5,2.25,1.38,3.75,1,3.62,"Importance"
"54","13-1021.00","Buyers and Purchasing Agents, Farm Products",3.12,3.75,3.25,3.12,3.88,1,1,1,2.5,3.38,2.5,2.75,2.88,3,3,3.12,3.38,1.88,2.25,1.88,3.38,1.5,2.25,3.38,1.12,1.62,3,3.12,3.88,3,2.62,1.75,3.12,1.62,3.12,"Importance"
"55","13-1022.00","Wholesale and Retail Buyers, Except Farm Products",3.38,3.75,3.25,3.12,3.75,1,1,1,3,3.38,2.88,3.25,2.88,2.75,3.12,3.12,4,1.38,1.75,2.12,3.75,1.75,2.25,3.25,1,1.75,3.12,3.25,3.75,2.62,3,1.62,3,1,3,"Importance"
"56","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,4,3.62,3.12,3.88,1,1.12,1,3,3.75,2.75,3.75,3.12,2.88,3,3.62,3.5,1,1.25,2.62,3.62,1.25,2.38,4,1,1.38,2.75,3.5,4,2.88,3,1.12,3.38,1.25,3.75,"Importance"
"57","13-1031.01","Claims Examiners, Property and Casualty Insurance",3.25,3.75,3.38,3.25,3.75,1,1,1,2.88,3.5,2.62,2.12,1.75,2.75,2.88,3.38,3.62,1.12,2.12,1.12,3.12,1.38,1.88,3.88,1,1,3.25,3.38,3.75,2.75,2.38,1.38,3,1.5,3.88,"Importance"
"58","13-1031.02","Insurance Adjusters, Examiners, and Investigators",3.5,4,3.25,3.12,4,1,1,1,2,3.38,2.38,2.88,2.12,2.25,3.12,2.88,3.75,1.12,2,2.12,3.12,1.75,2.12,4,1,1.38,3.12,3.38,3.88,2.12,2.38,1.5,3.25,2,3.62,"Importance"
"59","13-1032.00","Insurance Appraisers, Auto Damage",2.62,3.88,2.88,2.88,3.25,1.12,1.12,1,1.88,3.12,1.75,1.75,1.38,1.88,2.5,2.38,2.62,1.75,1.75,2,2.62,1.12,2,3.62,1,1.12,3,3,3.5,2.12,2.12,1,3.12,1.62,3.62,"Importance"
"60","13-1041.01","Environmental Compliance Inspectors",3.62,4,3.62,3.12,4,1.38,1.25,1,2.88,3.38,3.12,1.75,1.75,2.62,3,3.62,2.88,2.5,3.38,2.38,2.88,1.88,3.5,4,1.25,2.88,2.88,3.38,3.88,3.25,3.25,1.75,3,2.12,3.62,"Importance"
"61","13-1041.02","Licensing Examiners and Inspectors",3.25,4,3.12,3,3.62,1,1,1,2.88,3.62,2.62,2,2,2.62,2.38,3.12,3,2,2.75,1.88,3,1.75,2.75,3.88,1,1,3.12,3.62,3.88,2.75,2.75,1.38,3.12,1.75,3.5,"Importance"
"62","13-1041.03","Equal Opportunity Representatives and Officers",3.75,4.25,3.75,3.12,4,1,1.12,1,2.88,3.62,3,1.38,1.38,2.25,2.5,3.38,3,1.12,1.75,2,3.25,1.88,1.75,4.12,1,1.62,3.12,4,4,3.25,3.25,1.75,3,1,3.88,"Importance"
"63","13-1041.04","Government Property Inspectors and Investigators",3.5,4.25,3.88,3.88,4.12,1,1.12,1,3.62,4.12,3.38,2.25,2.25,3.25,2.75,3.62,3.5,2.88,3.38,2.25,3.38,2.12,3.25,4.12,1,1.62,3.5,3.62,4.25,3.38,3.25,1.62,3.5,1.88,4.25,"Importance"
"64","13-1041.06","Coroners",3.25,3.88,3.38,3.75,4,1,1.5,1,3,3.5,2.75,1.88,2,3.12,2.5,3.5,2.5,2.25,2.25,1.88,2.75,1.62,2,3.75,1,3.5,3.12,3.75,4,2.75,2.38,1.75,2.88,1.75,3.75,"Importance"
"65","13-1041.07","Regulatory Affairs Specialists",3.38,3.62,3.62,3.38,3.88,1,1,1,2.88,3.62,2.62,2,1.88,2.88,2.5,3.12,3,1,2,2.62,3,2,2.25,4.12,1,1.62,2.88,3.25,3.75,3.62,3.38,1.75,3.38,1,3.88,"Importance"
"66","13-1051.00","Cost Estimators",3.12,3.62,3.38,3.12,3.75,1,1,1,2.5,3.62,2.5,3.5,2.88,2.62,3.88,3,2.88,1.25,2.12,2.5,3.12,1.88,1.5,3.5,1,1.62,2.38,3.12,3.75,3.25,2.88,1.75,3.12,1,3.25,"Importance"
"67","13-1071.00","Human Resources Specialists",3.12,4,3,3.38,3.62,1,1.12,1,2.75,3.25,2.75,1.5,1.75,3,2.25,3.12,2.88,1.25,1.62,1.38,2.88,1.62,1.5,3.88,1,1.25,3,3.25,4,2.5,2.38,1.5,3.12,1,3.5,"Importance"
"68","13-1074.00","Farm Labor Contractors",2.38,3.38,2.75,3,3,1,1.12,1,2.62,3,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,2.38,1.25,2.62,1.38,1.75,2.75,1,1.25,2.62,3,3.5,2.12,1.88,1,3.12,1.75,2.75,"Importance"
"69","13-1075.00","Labor Relations Specialists",3.5,4.5,3.75,3.38,3.88,1,1,1,3,3.75,3.25,2.12,2.12,3,2.62,3.5,4.25,1.62,1.75,1.5,4.12,1.38,1.38,4.25,1,1,3.5,3.88,4.38,3.25,3.12,1.62,3.5,1,4.12,"Importance"
"70","13-1081.00","Logisticians",3.25,3.88,3.75,3.5,4,1,1,1,3,3.38,2.88,2.38,2.5,3.25,3,3.75,2.88,1.38,2.5,3.12,3.12,2.12,2.25,3.75,1,1.62,3.38,3.25,3.62,3.38,3.12,1.62,3.62,1.12,3.12,"Importance"
"71","13-1081.01","Logistics Engineers",3.75,3.88,3.88,3.5,4,2.12,2.5,1,3,3.88,3.25,2.5,2.5,3.38,3.75,3.12,2.88,1.75,2.62,3.38,3.12,2.62,2.88,4.25,2.25,2.38,3,3.25,3.62,4.12,4,2.75,3.75,2.62,3.75,"Importance"
"72","13-1081.02","Logistics Analysts",3.12,3.5,3.75,2.88,3.75,1,1.25,1,2.62,3.5,2.62,2.5,2.62,2.75,3.25,3.5,2.62,1.25,2.38,2.38,2.75,2,2.5,3.88,1,1.75,2.62,2.88,3.5,3.62,3.62,2.12,3,1.88,3.25,"Importance"
"73","13-1111.00","Management Analysts",3.38,4.12,3.88,3.38,4,1,1.12,1,2.88,3.75,2.88,1.62,1.88,3,2.62,3.62,3,1,1.25,3.25,2.88,1.12,1.38,4.12,1,2.25,2.88,3.5,4.12,3.5,3.5,1.5,3.38,1.38,3.75,"Importance"
"74","13-1121.00","Meeting, Convention, and Event Planners",3.12,4.12,3.25,3.75,3.88,1,1,1,2.5,3.5,2.38,2.62,2.62,3.25,2.25,3.5,3.38,1.88,2.12,3.12,3.38,1.38,1.12,3.88,1.12,1.25,3.75,3.75,4,3.12,2.88,1.75,3.88,1.12,3.25,"Importance"
"75","13-1131.00","Fundraisers",3.25,4,3.12,3.75,3.88,1,1.25,1,2.88,3.38,2.62,2.75,2.38,3.12,2.62,3.25,3.5,1.75,1.75,1.75,4,1.75,1.5,3.75,1,1.25,3.62,3.75,4.25,2.75,2.88,1.75,3.25,1,4.12,"Importance"
"76","13-1141.00","Compensation, Benefits, and Job Analysis Specialists",3.25,4,3.38,3,3.88,1,1,1,3,3.25,2.88,2.25,2,2.88,3,3.25,3,1.12,1.75,3.25,2.88,1.88,1.38,3.75,1,2.5,2.75,3.25,3.75,3.38,3,1.62,2.88,1,3.38,"Importance"
"77","13-1151.00","Training and Development Specialists",3.62,4.12,3.25,3.75,3.88,1,1.12,1,4.25,3.75,4.25,2.25,2.25,3,2.62,4,3,1,1.75,3.38,3.12,1.38,1.75,4,1,1.88,3.5,4,4.12,3.12,3.12,1.75,3.5,1,3.88,"Importance"
"78","13-1161.00","Market Research Analysts and Marketing Specialists",3.12,3.75,3.62,3.12,3.5,1,1,1,2.75,3.5,2.75,2.25,2,2.88,3,3.25,2.5,1.25,2,3.12,3,2.25,1.62,3.88,1,2.38,2.75,3.12,3.5,3.12,3,1.75,3,1,3.5,"Importance"
"79","13-1199.01","Energy Auditors",3.25,3.75,3.38,3.25,3.75,1.12,1.62,1.12,3,3.75,2.75,2,2,2.75,3.38,3.38,2.75,2.62,2.88,3,3.12,1.38,2.5,3.88,1.25,3.12,2.88,2.88,3.75,3.38,3.12,1.62,3.25,2.25,3.62,"Importance"
"80","13-1199.02","Security Management Specialists",3.38,3.75,3.5,3.38,3.88,2.12,1.88,2.5,3.12,3.62,2.62,2.38,2.62,2.88,2.5,3.25,2.88,2.25,2.62,3,3,2.25,2.5,3.62,1.88,1.5,3.38,3.25,3.75,3.25,3.25,2.5,3.25,2.38,3.5,"Importance"
"81","13-1199.03","Customs Brokers",3,4,3.62,3.38,3.5,1,1.12,1,2.75,3.12,2.62,2.25,2.5,2.75,2.62,3.38,3,1.12,1.88,1.38,2.88,1.88,1.25,4,1.12,1.12,3.25,3,3.5,2.75,2.62,1.5,3.25,1.25,3.5,"Importance"
"82","13-1199.04","Business Continuity Planners",3.5,3.62,3.88,3.62,4,1,1.38,1,3.12,3.75,3.38,2.88,2.62,3,2.75,3.5,3,1.25,2.38,2.5,3.12,1.75,2.88,3.62,1,1.25,3.38,3.38,3.62,3.75,3.5,2,3.12,2,3.75,"Importance"
"83","13-1199.05","Sustainability Specialists",3.38,3.75,3.75,3.5,3.62,1,1.25,1.38,3.12,3.62,3,2.12,2.38,3,2.62,3.62,3,1.25,2.25,2.12,3.25,1.88,2.5,4.12,1,1.88,3,3.25,3.75,3.12,3.5,2,3.25,1.75,3.62,"Importance"
"84","13-1199.06","Online Merchants",2.88,3.5,3,3,3.5,1,1.25,1.12,2.25,3.25,2.38,2.88,2.75,2.62,3,3.12,3.12,1.25,1.88,2,3.38,2.38,1.62,3.62,1.25,1.25,3.38,3.12,3.5,2.62,2.62,1.75,2.88,1.12,3.38,"Importance"
"85","13-2011.01","Accountants",3.25,3.88,3.38,3.12,3.62,1,1,1,2.5,3.5,2.75,2.38,1.75,2.62,3.88,3.12,2.75,1,1.62,2.75,2.62,1.38,1.12,3.75,1,1.88,2.75,2.88,3.62,3.12,2.75,1.5,3.38,1,3.75,"Importance"
"86","13-2011.02","Auditors",3.5,3.62,3.5,3.25,3.75,1,1,1,3,3.5,3,2.5,2,3.12,3.38,3.25,3,1.12,2.12,2.75,3.12,2,2.12,3.75,1,2.12,2.88,3.12,3.62,3.25,3.25,1.62,3.25,1,3.5,"Importance"
"87","13-2021.01","Assessors",3.5,3.88,3.12,2.75,3.88,1,1,1,2.5,3.38,2.25,2,1.88,2.75,3.12,3.12,2.88,2,2.25,1.88,3,1.75,2.5,4,1,1.5,3.12,3.5,3.75,2.75,2.5,1.12,3,2,3.38,"Importance"
